"bidder_id","bidprice","click"
"A145476B",7.83011154970154,0
"A597624B",8.91529259737581,0
"A476382B",2.88859278894961,0
"A602435B",5.45798528008163,0
"A365753B",8.0098526366055,0
"A902580B",8.54350680019706,0
"A924825B",3.46216206904501,0
"A176039B",1.49953660555184,0
"A484658B",2.82842377433553,0
"A259538B",2.39585438277572,0
"A571857B",2.83500309567899,0
"A257711B",9.60788249503821,0
"A511752B",7.23890176508576,0
"A8934B",2.70849794149399,0
"A265487B",1.6484435996972,0
"A544727B",6.56253143213689,0
"A34102B",6.44539657980204,0
"A604079B",2.50348152127117,0
"A565567B",8.13521415460855,0
"A667523B",0.242704136762768,0
"A224262B",2.25457929307595,0
"A218124B",6.00844213739038,0
"A502888B",7.59552597999573,0
"A908094B",1.36251443065703,0
"A922809B",0.40292147314176,0
"A451334B",5.33324304968119,0
"A412918B",5.90230746427551,0
"A549707B",3.87384695699438,0
"A58256B",0.472026213537902,0
"A585663B",4.23807774670422,0
"A11827B",3.14220765605569,0
"A748364B",4.00166136911139,0
"A341891B",0.0703486776910722,0
"A165145B",4.55720499390736,0
"A597837B",9.70650178380311,0
"A646445B",8.69162844726816,0
"A718143B",5.52537692943588,0
"A743334B",2.75392361916602,0
"A490389B",7.77842612704262,0
"A135413B",0.411361651495099,0
"A423821B",2.65059746801853,0
"A982256B",0.156646694522351,0
"A848660B",1.35227960068733,0
"A413174B",8.29864705214277,0
"A533524B",6.38047241140157,0
"A627333B",5.42690586764365,0
"A77522B",9.29700667271391,0
"A527516B",1.21260544052348,0
"A237955B",6.40056425705552,0
"A379398B",4.5856233802624,0
"A316327B",4.87678269855678,0
"A582059B",6.68724317569286,0
"A688390B",7.06350038293749,0
"A339324B",3.7513861944899,0
"A17878B",4.47096416261047,0
"A619301B",3.48993936320767,0
"A474823B",4.29901142138988,0
"A519292B",5.89887112844735,0
"A361998B",6.92158858058974,0
"A416402B",7.95002835337073,0
"A429844B",2.60509710526094,0
"A627133B",3.52543944260105,0
"A615361B",2.26219225442037,0
"A661573B",4.09857928287238,0
"A709106B",4.90103407530114,0
"A919621B",6.08992314198986,0
"A313954B",0.0621763989329338,0
"A252220B",5.01883910270408,0
"A23375B",8.79062490770593,0
"A396397B",1.94523901445791,0
"A169469B",5.7993057789281,0
"A990007B",6.46813378436491,0
"A192252B",5.62695438973606,0
"A272384B",9.84423515154049,0
"A870322B",9.17515698121861,0
"A692673B",2.66590043436736,0
"A175689B",9.57189367618412,0
"A820062B",0.537522819358855,0
"A855296B",9.86192283220589,0
"A389206B",4.13406013743952,0
"A135689B",5.49999902257696,0
"A613541B",3.64701974205673,0
"A922328B",2.99202787922695,0
"A214340B",3.72960542794317,0
"A550020B",1.41916325083002,0
"A340893B",0.764502990059555,0
"A79981B",8.97820772603154,0
"A936390B",4.38267366494983,0
"A603770B",6.42529361881316,0
"A308560B",9.96678251540288,0
"A537170B",9.37901792116463,0
"A29503B",6.75434769131243,0
"A430777B",8.89528946951032,0
"A857640B",0.479459674097598,0
"A154149B",7.26780838798732,0
"A429766B",5.79164881492034,0
"A137746B",6.2368471454829,0
"A403601B",7.17879029922187,0
"A166237B",9.99241864774376,0
"A438689B",2.6139000733383,0
"A680106B",4.52947835670784,0
"A646043B",2.34043334145099,0
"A981175B",8.03038809448481,0
"A450929B",3.27271525980905,0
"A508695B",4.30836114799604,0
"A826320B",4.54808787209913,0
"A165748B",8.48028253763914,0
"A155349B",8.85226116050035,0
"A539334B",4.07449994934723,0
"A504840B",6.45382028073072,0
"A271117B",3.40158525155857,0
"A444888B",8.17733434727415,0
"A608195B",5.95718857599422,0
"A88792B",3.95079841604456,0
"A382827B",9.11857014521956,0
"A863618B",6.65821118513122,0
"A238662B",6.5424980642274,0
"A30953B",5.85637273732573,0
"A696532B",2.24695919314399,0
"A741460B",2.6485991361551,0
"A622237B",3.11564612202346,0
"A833750B",5.84400609135628,0
"A716642B",1.9033602043055,0
"A450859B",2.8799700923264,0
"A952616B",8.99876956362277,0
"A297995B",0.994038672652096,0
"A645167B",1.74748489167541,0
"A906367B",6.56330106081441,0
"A979267B",4.60939678596333,0
"A991525B",4.82990803197026,0
"A848226B",6.66761642554775,0
"A819571B",2.99763134680688,0
"A311214B",5.33037479966879,0
"A506166B",8.38057171786204,0
"A224701B",7.82357718562707,0
"A1858B",7.23347592400387,0
"A557456B",9.97981929918751,0
"A290672B",5.08961161132902,0
"A427446B",5.30784503556788,0
"A948280B",7.29374691145495,0
"A272044B",3.37895563105121,0
"A216897B",3.68348088813946,0
"A208719B",1.84426297433674,0
"A912424B",9.98703460674733,0
"A413904B",2.7693489799276,0
"A860157B",6.05936113046482,0
"A687355B",4.23585565993562,0
"A242873B",8.8429010938853,0
"A865288B",9.79073730297387,0
"A674653B",1.68736811727285,0
"A21248B",0.767786167562008,0
"A864856B",3.66753581911325,0
"A328620B",1.71522983117029,0
"A100979B",7.60753817856312,0
"A548208B",1.08206309145316,0
"A190232B",3.66571067366749,0
"A166789B",7.56767374929041,0
"A871013B",2.37440263386816,0
"A868329B",6.11575697315857,0
"A619160B",9.13655493641272,0
"A815894B",8.26365267625079,0
"A350978B",6.40342910541221,0
"A952530B",6.46845133276656,0
"A55676B",0.539517600554973,0
"A109967B",9.91266468539834,0
"A380960B",4.23287031706423,0
"A522463B",8.51352019468322,0
"A162271B",9.04592470964417,0
"A819051B",2.7535452414304,0
"A304987B",7.52763187745586,0
"A59674B",4.5125829288736,0
"A849593B",0.172014588024467,0
"A486838B",4.84229334630072,0
"A343383B",8.67111285449937,0
"A970625B",9.40774956252426,0
"A219817B",0.247918127570301,0
"A573592B",8.74959281645715,0
"A294925B",4.39280160702765,0
"A711024B",9.79451877530664,0
"A591250B",6.38072214554995,0
"A87451B",2.83972240285948,0
"A13560B",2.48951961286366,0
"A12454B",2.61732103303075,0
"A673081B",1.28591367043555,0
"A227043B",4.08023010706529,0
"A94311B",1.90919670509174,0
"A939231B",9.1210289648734,0
"A22699B",4.64428993640468,0
"A603985B",6.86995257157832,0
"A302220B",4.46944193681702,0
"A421420B",1.92326677031815,0
"A877837B",3.75696817645803,0
"A47058B",4.02899126987904,0
"A185101B",7.40689602214843,0
"A781045B",8.22488947072998,0
"A758091B",1.24475153861567,0
"A139651B",7.58158658631146,0
"A954362B",1.69729490298778,0
"A924453B",2.38017021911219,0
"A608951B",4.08255078364164,0
"A465088B",5.12475157855079,0
"A397254B",9.22886076848954,0
"A193305B",7.55964591633528,0
